i,j,x,sampno
40,4,1,1
75,4,1,1
99,4,1,1
153,4,1,1
158,4,1,1
175,4,1,1
178,4,1,1
182,4,1,1
183,4,1,1
214,4,1,1
224,4,1,1
1,5,1,1
5,5,1,1
7,5,1,1
16,5,1,1
44,5,1,1
99,5,1,1
103,5,1,1
114,5,1,1
126,5,1,1
128,5,1,1
129,5,1,1
137,5,1,1
140,5,1,1
147,5,1,1
153,5,1,1
179,5,1,1
228,5,1,1
247,5,1,1
1,6,1,1
5,6,1,1
25,6,1,1
32,6,1,1
34,6,1,1
40,6,1,1
41,6,1,1
43,6,1,1
51,6,1,1
58,6,1,1
68,6,1,1
76,6,1,1
85,6,1,1
105,6,1,1
109,6,1,1
114,6,1,1
126,6,1,1
128,6,1,1
129,6,1,1
133,6,1,1
137,6,1,1
142,6,1,1
144,6,1,1
152,6,1,1
153,6,1,1
158,6,1,1
162,6,1,1
174,6,1,1
177,6,1,1
178,6,1,1
179,6,1,1
183,6,1,1
189,6,1,1
194,6,1,1
207,6,1,1
214,6,1,1
215,6,1,1
216,6,1,1
224,6,1,1
229,6,1,1
244,6,1,1
1,7,1,1
3,7,1,1
5,7,1,1
7,7,1,1
14,7,1,1
29,7,1,1
41,7,1,1
58,7,1,1
60,7,1,1
63,7,1,1
68,7,1,1
69,7,1,1
73,7,1,1
74,7,1,1
75,7,1,1
81,7,1,1
84,7,1,1
85,7,1,1
94,7,1,1
95,7,1,1
99,7,1,1
101,7,1,1
103,7,1,1
105,7,1,1
106,7,1,1
112,7,1,1
114,7,1,1
115,7,1,1
126,7,1,1
128,7,1,1
129,7,1,1
133,7,1,1
135,7,1,1
136,7,1,1
137,7,1,1
140,7,1,1
144,7,1,1
147,7,1,1
151,7,1,1
153,7,1,1
158,7,1,1
162,7,1,1
164,7,1,1
171,7,1,1
177,7,1,1
181,7,1,1
183,7,1,1
189,7,1,1
194,7,1,1
200,7,1,1
207,7,1,1
215,7,1,1
218,7,1,1
224,7,1,1
232,7,1,1
244,7,1,1
1,8,1,1
3,8,1,1
5,8,1,1
7,8,1,1
9,8,1,1
12,8,1,1
14,8,1,1
16,8,1,1
23,8,1,1
29,8,1,1
32,8,1,1
34,8,1,1
39,8,1,1
41,8,1,1
44,8,1,1
46,8,1,1
49,8,1,1
51,8,1,1
57,8,1,1
59,8,1,1
60,8,1,1
61,8,1,1
64,8,1,1
68,8,1,1
73,8,1,1
75,8,1,1
81,8,1,1
89,8,1,1
90,8,1,1
94,8,1,1
98,8,1,1
99,8,1,1
100,8,1,1
101,8,1,1
104,8,1,1
105,8,1,1
110,8,1,1
112,8,1,1
115,8,1,1
118,8,1,1
119,8,1,1
121,8,1,1
128,8,1,1
133,8,1,1
136,8,1,1
144,8,1,1
147,8,1,1
148,8,1,1
149,8,1,1
151,8,1,1
152,8,1,1
153,8,1,1
154,8,1,1
155,8,1,1
158,8,1,1
160,8,1,1
162,8,1,1
170,8,1,1
174,8,1,1
175,8,1,1
177,8,1,1
178,8,1,1
182,8,1,1
183,8,1,1
188,8,1,1
190,8,1,1
198,8,1,1
201,8,1,1
202,8,1,1
206,8,1,1
213,8,1,1
214,8,1,1
215,8,1,1
216,8,1,1
222,8,1,1
225,8,1,1
228,8,1,1
229,8,1,1
243,8,1,1
247,8,1,1
1,9,1,1
5,9,1,1
6,9,1,1
7,9,1,1
12,9,1,1
13,9,1,1
16,9,1,1
22,9,1,1
23,9,1,1
25,9,1,1
27,9,1,1
31,9,1,1
32,9,1,1
34,9,1,1
37,9,1,1
39,9,1,1
40,9,1,1
42,9,1,1
45,9,1,1
46,9,1,1
47,9,1,1
49,9,1,1
57,9,1,1
58,9,1,1
59,9,1,1
60,9,1,1
61,9,1,1
65,9,1,1
66,9,1,1
73,9,1,1
84,9,1,1
86,9,1,1
91,9,1,1
94,9,1,1
95,9,1,1
99,9,1,1
100,9,1,1
101,9,1,1
103,9,1,1
105,9,1,1
109,9,1,1
112,9,1,1
115,9,1,1
116,9,1,1
118,9,1,1
121,9,1,1
129,9,1,1
135,9,1,1
137,9,1,1
138,9,1,1
140,9,1,1
141,9,1,1
142,9,1,1
147,9,1,1
148,9,1,1
149,9,1,1
151,9,1,1
154,9,1,1
155,9,1,1
156,9,1,1
158,9,1,1
160,9,1,1
170,9,1,1
171,9,1,1
174,9,1,1
175,9,1,1
177,9,1,1
179,9,1,1
181,9,1,1
182,9,1,1
183,9,1,1
188,9,1,1
193,9,1,1
194,9,1,1
195,9,1,1
197,9,1,1
199,9,1,1
201,9,1,1
207,9,1,1
209,9,1,1
213,9,1,1
215,9,1,1
217,9,1,1
218,9,1,1
219,9,1,1
222,9,1,1
223,9,1,1
224,9,1,1
225,9,1,1
233,9,1,1
237,9,1,1
243,9,1,1
247,9,1,1
248,9,1,1
1,10,1,1
3,10,1,1
4,10,1,1
5,10,1,1
8,10,1,1
10,10,1,1
12,10,1,1
15,10,1,1
21,10,1,1
22,10,1,1
24,10,1,1
26,10,1,1
28,10,1,1
30,10,1,1
31,10,1,1
36,10,1,1
38,10,1,1
45,10,1,1
49,10,1,1
55,10,1,1
57,10,1,1
58,10,1,1
60,10,1,1
61,10,1,1
62,10,1,1
63,10,1,1
64,10,1,1
65,10,1,1
67,10,1,1
69,10,1,1
72,10,1,1
74,10,1,1
85,10,1,1
86,10,1,1
93,10,1,1
94,10,1,1
95,10,1,1
98,10,1,1
101,10,1,1
102,10,1,1
109,10,1,1
114,10,1,1
116,10,1,1
117,10,1,1
118,10,1,1
121,10,1,1
126,10,1,1
127,10,1,1
129,10,1,1
132,10,1,1
134,10,1,1
135,10,1,1
136,10,1,1
140,10,1,1
141,10,1,1
142,10,1,1
144,10,1,1
145,10,1,1
147,10,1,1
151,10,1,1
152,10,1,1
156,10,1,1
162,10,1,1
167,10,1,1
