i,j,x,sampno
25,4,1,1
40,4,1,1
68,4,1,1
73,4,1,1
75,4,1,1
85,4,1,1
103,4,1,1
126,4,1,1
153,4,1,1
158,4,1,1
178,4,1,1
182,4,1,1
183,4,1,1
207,4,1,1
216,4,1,1
224,4,1,1
10,5,1,1
16,5,1,1
25,5,1,1
34,5,1,1
36,5,1,1
40,5,1,1
41,5,1,1
44,5,1,1
58,5,1,1
59,5,1,1
63,5,1,1
68,5,1,1
73,5,1,1
75,5,1,1
85,5,1,1
103,5,1,1
114,5,1,1
128,5,1,1
136,5,1,1
137,5,1,1
144,5,1,1
147,5,1,1
149,5,1,1
158,5,1,1
162,5,1,1
179,5,1,1
182,5,1,1
183,5,1,1
189,5,1,1
194,5,1,1
216,5,1,1
224,5,1,1
228,5,1,1
3,6,1,1
5,6,1,1
13,6,1,1
34,6,1,1
40,6,1,1
43,6,1,1
46,6,1,1
58,6,1,1
59,6,1,1
63,6,1,1
73,6,1,1
85,6,1,1
89,6,1,1
105,6,1,1
126,6,1,1
133,6,1,1
144,6,1,1
147,6,1,1
149,6,1,1
151,6,1,1
152,6,1,1
158,6,1,1
162,6,1,1
164,6,1,1
175,6,1,1
179,6,1,1
182,6,1,1
189,6,1,1
200,6,1,1
201,6,1,1
215,6,1,1
228,6,1,1
229,6,1,1
244,6,1,1
247,6,1,1
1,7,1,1
6,7,1,1
13,7,1,1
14,7,1,1
23,7,1,1
25,7,1,1
34,7,1,1
40,7,1,1
41,7,1,1
43,7,1,1
49,7,1,1
51,7,1,1
57,7,1,1
58,7,1,1
60,7,1,1
63,7,1,1
64,7,1,1
65,7,1,1
69,7,1,1
74,7,1,1
75,7,1,1
76,7,1,1
81,7,1,1
84,7,1,1
89,7,1,1
99,7,1,1
100,7,1,1
103,7,1,1
112,7,1,1
114,7,1,1
116,7,1,1
126,7,1,1
128,7,1,1
129,7,1,1
136,7,1,1
142,7,1,1
143,7,1,1
147,7,1,1
151,7,1,1
152,7,1,1
153,7,1,1
155,7,1,1
158,7,1,1
162,7,1,1
164,7,1,1
175,7,1,1
178,7,1,1
179,7,1,1
181,7,1,1
194,7,1,1
200,7,1,1
206,7,1,1
207,7,1,1
214,7,1,1
216,7,1,1
218,7,1,1
224,7,1,1
229,7,1,1
244,7,1,1
1,8,1,1
3,8,1,1
5,8,1,1
6,8,1,1
8,8,1,1
13,8,1,1
14,8,1,1
15,8,1,1
16,8,1,1
22,8,1,1
25,8,1,1
27,8,1,1
29,8,1,1
32,8,1,1
34,8,1,1
39,8,1,1
40,8,1,1
44,8,1,1
46,8,1,1
49,8,1,1
57,8,1,1
58,8,1,1
59,8,1,1
60,8,1,1
61,8,1,1
63,8,1,1
64,8,1,1
65,8,1,1
69,8,1,1
72,8,1,1
74,8,1,1
76,8,1,1
81,8,1,1
83,8,1,1
84,8,1,1
85,8,1,1
86,8,1,1
90,8,1,1
95,8,1,1
99,8,1,1
100,8,1,1
102,8,1,1
103,8,1,1
105,8,1,1
106,8,1,1
109,8,1,1
112,8,1,1
115,8,1,1
116,8,1,1
119,8,1,1
126,8,1,1
128,8,1,1
129,8,1,1
133,8,1,1
137,8,1,1
140,8,1,1
141,8,1,1
142,8,1,1
144,8,1,1
147,8,1,1
148,8,1,1
152,8,1,1
153,8,1,1
160,8,1,1
162,8,1,1
174,8,1,1
175,8,1,1
178,8,1,1
182,8,1,1
188,8,1,1
189,8,1,1
190,8,1,1
198,8,1,1
200,8,1,1
201,8,1,1
202,8,1,1
206,8,1,1
207,8,1,1
213,8,1,1
214,8,1,1
215,8,1,1
217,8,1,1
218,8,1,1
219,8,1,1
222,8,1,1
224,8,1,1
225,8,1,1
228,8,1,1
229,8,1,1
232,8,1,1
244,8,1,1
247,8,1,1
3,9,1,1
4,9,1,1
6,9,1,1
9,9,1,1
10,9,1,1
12,9,1,1
16,9,1,1
17,9,1,1
22,9,1,1
23,9,1,1
24,9,1,1
29,9,1,1
32,9,1,1
36,9,1,1
37,9,1,1
38,9,1,1
39,9,1,1
40,9,1,1
41,9,1,1
42,9,1,1
43,9,1,1
44,9,1,1
47,9,1,1
49,9,1,1
57,9,1,1
58,9,1,1
59,9,1,1
60,9,1,1
61,9,1,1
62,9,1,1
63,9,1,1
68,9,1,1
75,9,1,1
77,9,1,1
81,9,1,1
84,9,1,1
85,9,1,1
87,9,1,1
