sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,1.51347909495235,0,0.0551210997672752,0.8,0.15648702562321,1,8,1.91075363394339,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.653334027621895,0,0.646094824653119,0,0,0,-0.362669233232737,0,0,0.565981137566268,0,0,0.693277971353382,-2691.82579456447,-1901.11923764,-790.70655692446
101,1.2333671534434,0,0.112161240032874,0.8,0.164664781838656,1,8,2.37965716596227,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.360770395118743,0,0.537052259268239,0,0,0,-0.726913547562435,0,0,1.48445604224689,0,0,0.206315063731744,-2287.48219773212,-1613.43324844598,-674.048949286141
201,1.41732850335538,0,0.174173033637926,0.8,0.164664781838656,1,8,2.16843848722056,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.268776543205604,0,0.865517398016527,0,0,0,-0.74868675796315,0,0,1.88809767244384,0,0,0.567883793404325,-2289.06515496193,-1597.69530343586,-691.369851526078
301,1.44449729230255,0,0.154806823031977,0.8,0.141785834170878,1,8,2.07057482993696,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.209207294043154,0,0.8849339553155,0,0,0,-0.679827066976577,0,0,2.14085260108113,0,0,0.589997382974252,-2264.12745940971,-1579.52390088112,-684.603558528587
401,1.48999317716807,0,0.169427166720852,0.8,0.141785834170878,1,8,2.30218895850703,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.432021978776902,0,0.527161553734913,0,0,0,-0.881934815226123,0,0,1.72318568024784,0,0,0.242491506598889,-2209.51670714163,-1602.72038285688,-606.796324284746
501,1.73558224178851,0,0.252573339692317,0.8,0.158845436805859,1,8,2.30218895850703,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.190248720999808,0,0.936360895913093,0,0,0,-1.04887690311298,0,0,1.74402106115595,0,0,0.212843278283253,-2163.77151676455,-1613.7809884595,-549.990528305052
601,1.81114694550633,0,0.16376405926887,0.8,0.163753214734606,1,8,2.30218895850703,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.424097520625221,0,0.570138902543111,0,0,0,-1.06029309323058,0,0,1.51156691466458,0,0,0.389995924569666,-2121.40255056381,-1598.09611165577,-523.306438908034
701,1.95041457749903,0,0.168136366624385,0.8,0.184592803055421,1,8,2.27741933451034,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.523917469987647,0,0.644225914496928,0,0,0,-1.03772617178038,0,0,1.70955332960002,0,0,0.558446377143264,-2173.03238746814,-1583.87039621359,-589.161991254553
801,1.46207064576447,0,0.0862404904142023,0.8,0.11551113659516,1,8,2.27741933451034,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.825239150272684,0,0.0702483439818016,0,0,0,-1.15061385324225,0,0,1.49766967981123,0,0,0.109196510119363,-2152.75035315581,-1586.2126193636,-566.537733792214
901,1.42997858636081,0,0.144399802740663,0.8,0.116680014156736,1,8,2.3100821786793,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.269657992105933,0,0.445274562854318,0,0,0,-1.02408185610548,0,0,1.76863979301415,0,0,0.347953643137589,-2131.08385418573,-1589.04048374751,-542.043370438221
