sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,2.60640094894916,0,0.0660760921472684,0.8,0.150676941918209,1,8,1.61773849849124,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.66149845533073,0,-0.857248351443559,0,0,0,0.40517792198807,0,0,-0.519920638296753,0,0,0.364906109403819,-3828.20407647927,-3017.46332194971,-810.740754529561
101,2.52737294696271,0,0.209104224019684,0.8,0.187373628327623,1,8,2.22328397026286,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0389310265891258,0,-0.14601306063123,0,0,0,-0.638620191626251,0,0,-0.185191003279761,0,0,0.222634880291298,-2129.1124700757,-1622.14839373718,-506.964076338521
201,2.74279205314815,0,0.189385043042712,0.8,0.198032746580429,1,8,2.25422333856113,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.223645375669003,0,0.283643485652284,0,0,0,-1.6243543096818,0,0,0.113769316906108,0,0,-0.418146026832983,-2071.20823651999,-1591.19795080942,-480.010285710571
301,2.59754674565047,0,0.151928735598922,0.8,0.189744185446762,1,8,2.19917915167753,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.269558053975925,0,0.491079124296085,0,0,0,-1.17575507406145,0,0,0.586722877668215,0,0,-0.614625495159999,-2043.91374657303,-1578.90996395114,-465.003782621889
401,2.77304970026016,0,0.311194082819857,0.8,0.187031917157583,1,8,2.19917915167753,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.124760390026495,0,0.520173390535639,0,0,0,-0.78637849856168,0,0,1.03341823313385,0,0,-0.388674889830873,-2018.3769282489,-1592.3385424346,-426.038385814306
501,2.59208670631051,0,0.349450298473239,0.8,0.172636704239994,1,8,2.19618456135504,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.53882636227645,0,0.280103567242623,0,0,0,-1.22200676067732,0,0,1.08555429964326,0,0,0.019115886511281,-2000.61909560822,-1571.49850710313,-429.120588505089
601,2.67141505256295,0,0.431458049830981,0.8,0.158645274490118,1,8,2.19618456135504,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.74076149542816,0,0.37282851971686,0,0,0,-1.21788611230441,0,0,0.844600469991564,0,0,0.0263694634195417,-1977.81333587138,-1578.8081300021,-399.00520586928
701,2.76770841870457,0,0.379199480619282,0.8,0.166715147485957,1,8,2.19618456135504,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.488318817829714,0,0.310373989399525,0,0,0,-0.96840315219015,0,0,1.22510292218067,0,0,-0.195523899560795,-1947.56385487094,-1593.94154832415,-353.622306546792
801,2.73566943742335,0,0.446215383876115,0.8,0.150238613900729,1,8,2.19618456135504,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.287931377114728,0,0.647843970870602,0,0,0,-1.0774238279555,0,0,1.55413761488162,0,0,0.202869668370112,-1961.71367158393,-1573.9993721152,-387.714299468732
901,2.61520172469318,0,0.493156514088623,0.8,0.1339774123393,1,8,2.19618456135504,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.590651520388202,0,0.518481946643445,0,0,0,-0.840285190707073,0,0,1.68874155492522,0,0,0.440257592638953,-2001.63321137106,-1577.32499727305,-424.308214098017
1001,2.57420195862651,0,0.438106235330925,0.8,0.165599325648509,1,8,2.19618456135504,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.363575412798674,0,0.699338267045099,0,0,0,-0.517498314008118,0,0,1.75559437284246,0,0,0.511438999697564,-1953.19789915634,-1574.09195710152,-379.105942054824
1101,2.67372633703053,0,0.512468358809129,0.8,0.188293952099048,1,8,2.24507426598575,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.309369573323058,0,0.850005388865251,0,0,0,-0.514170554699378,0,0,2.01735998722724,0,0,0.474565038178114,-2039.30353466679,-1557.81816620108,-481.485368465713
1201,3.26536061149091,0,0.568363477177918,0.8,0.162287881388329,1,8,2.24507426598575,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.153500913130121,0,1.00581744257361,0,0,0,-0.289689396880569,0,0,1.93123630611226,0,0,0.614051685621961,-1943.55861577917,-1561.26056873361,-382.298047045569
1301,2.87354652769864,0,0.518403706494719,0.8,0.168430511350743,1,8,2.24507426598575,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.156725136842576,0,0.962671118928123,0,0,0,-0.423292011441665,0,0,2.14478242578916,0,0,0.698493653815238,-2006.69019007004,-1555.152757419,-451.537432651039
1401,3.31703304033726,0,0.487462108074687,0.8,0.209388380451128,1,8,2.24507426598575,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.171052166726442,0,1.09495244408027,0,0,0,-0.724189412361013,0,0,2.41579494429752,0,0,1.32847489123233,-1936.7307973421,-1545.20977956976,-391.521017772342
1501,3.67936170008034,0,0.471675495994277,0.8,0.209388380451128,1,8,2.02415261988063,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.143268149299545,0,1.51331881014631,0,0,0,-0.798006466683002,0,0,2.03603925444186,0,0,1.26754048289731,-1887.25694483077,-1532.7216416719,-354.535303158872
1601,3.01957505494356,0,0.487476104525849,0.8,0.191126297367737,1,8,2.04001403460279,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.448377639008684,0,1.15194239248522,0,0,0,-0.244511401606725,0,0,2.41315359426662,0,0,1.0098437026143,-1955.73523656077,-1549.64981806282,-406.08541849795
1701,2.40222682636231,0,0.354167491924018,0.8,0.187037571566179,1,8,2.04001403460279,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.283636927790938,0,1.22861037808471,0,0,0,-0.0610774258151672,0,0,2.42137113041244,0,0,1.32806284441612,-1952.31790825055,-1554.45407279225,-397.863835458303
1801,2.66815252564848,0,0.360498918481171,0.8,0.15441672145389,1,8,2.04503200994805,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.148603019816803,0,1.01938533708453,0,0,0,-0.395887185400355,0,0,2.43472935552709,0,0,0.764308225922284,-1989.24606236843,-1561.97158004507,-427.274482323359
1901,2.66815252564848,0,0.336652545426041,0.8,0.16816964992322,1,8,2.04503200994805,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0301923919934803,0,1.22986746365205,0,0,0,-0.284860923606905,0,0,2.745183008397,0,0,0.898244036082176,-1916.22417908609,-1531.60160810497,-384.622570981122
2001,2.58724385723472,0,0.311033448581584,0.8,0.171563160535879,1,8,2.04503200994805,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.151789001189175,0,0.981987659167501,0,0,0,-0.15230573192239,0,0,2.47208819533698,0,0,0.992037924006579,-1989.99663219491,-1556.3661198147,-433.630512380209
2101,3.11290064413096,0,0.694634853723331,0.8,0.169065239571024,1,8,2.14717309871667,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.145047074646925,0,0.910684440161029,0,0,0,-0.395847121299969,0,0,2.37837872027888,0,0,0.845317290213346,-1946.33229838306,-1541.23521226486,-405.097086118206
2201,3.01660701729652,0,0.711547148934239,0.8,0.176881268262551,1,8,2.03540600152183,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0843383318530311,0,1.14863161192526,0,0,0,-0.0519076007065213,0,0,2.56560116106588,0,0,0.726531763961233,-1898.01797074456,-1556.17366143587,-341.844309308685
2301,3.19083791715206,0,0.548584151695446,0.8,0.193367496608015,1,8,1.99106252076821,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.224504820921776,0,1.34880823537522,0,0,0,-0.165078817905477,0,0,2.38818401832164,0,0,1.06810452335638,-1849.94959133936,-1532.20024892759,-317.749342411776
2401,3.19526635114413,0,0.823638932105604,0.8,0.212401247579983,1,8,1.99106252076821,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0965420878789707,0,1.47404687248058,0,0,0,-0.11010080157242,0,0,2.71424748805777,0,0,1.62719078384856,-1808.71773241056,-1551.99863609941,-256.719096311151
2501,3.44143279614774,0,0.796873639157187,0.8,0.190697522794128,1,8,1.98966470334767,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.433414185921829,0,1.51575655561766,0,0,0,0.0780390413375343,0,0,2.81321861752432,0,0,1.2694272004703,-1848.11074967874,-1536.43033745185,-311.680412226889
2601,3.05600852522644,0,0.692720338107116,0.8,0.180926251967119,1,8,1.98966470334767,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.43961034555137,0,1.21857427372897,0,0,0,-0.0346485777543557,0,0,2.52053179449431,0,0,1.34344882501696,-1935.01967449427,-1545.17308825704,-389.846586237233
2701,3.49238993866454,0,0.793141715454652,0.8,0.17224317278157,1,8,2.1391999523429,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.382415280075582,0,1.13183471409176,0,0,0,-0.0249162793345379,0,0,2.5860103282698,0,0,0.977542956977365,-1893.40724658223,-1546.82448789682,-346.582758685411
2801,3.27286085912276,0,0.901438790165573,0.8,0.161999560680135,1,8,2.10987600716352,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.138120614134567,0,1.17942097390387,0,0,0,-0.356014222212846,0,0,2.45659693175695,0,0,1.09559928770572,-1967.70229621587,-1541.89745403623,-425.804842179648
2901,2.89073670814227,0,0.916118747953244,0.8,0.175960034613387,1,8,2.26263294303011,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0743102057516829,0,1.03624189332963,0,0,0,-0.0940668768026649,0,0,2.79836308354265,0,0,1.30849701625537,-1894.53061202672,-1565.36686416086,-329.163747865855
3001,3.04866793320354,0,0.806414718330557,0.8,0.200555930834382,1,8,2.06816136044929,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0802883702505479,0,1.72679327137916,0,0,0,-0.0262315575935967,0,0,2.27953831870315,0,0,1.30849701625537,-1866.76859452428,-1566.40107492181,-300.36751960247
3101,2.65051622596166,0,0.87508449881771,0.8,0.132306594458751,1,8,1.96573586197152,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.184975007810516,0,1.21431717151035,0,0,0,0.328029473547347,0,0,2.7993690209057,0,0,1.29960018695491,-1837.69573169306,-1545.50105085917,-292.194680833891
3201,2.97361661487361,0,0.710892438030577,0.8,0.159141246931212,1,8,1.96573586197152,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.256851746264961,0,1.21431717151035,0,0,0,-0.137104293878845,0,0,2.6094415336004,0,0,1.26609913745705,-1882.60647364368,-1526.52232016321,-356.084153480472
