sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,1.10243702726439,1.01928582973778,0.0617062906548381,0.8,0.156757158669643,1,8,1.38095400901511,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-3491.51862570907,-2895.19304083779,-596.32558487128
101,1.84989430205897,0.301074879802763,0.021174164484255,0.8,0.196391297876835,1,8,2.19355461152736,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2452.78614369738,-1723.38637027375,-729.399773423627
201,1.92515172613785,0.906069577299058,0.00323256013914942,0.8,0.19753411221318,1,8,2.19744447583798,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2461.8191287696,-1724.6520727657,-737.167056003896
301,2.57432493669912,2.16170662380755,0.0238682853104547,0.8,0.205234683817253,1,8,2.19744447583798,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2304.07285384758,-1696.33520959656,-607.737644251025
401,3.16684097023681,1.5215783495456,0.0484683750476688,0.8,0.217532826168463,1,8,2.13637627160642,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2233.1256486307,-1674.84885001966,-558.276798611042
501,3.99175457181409,2.07736650519073,0.160380937932059,0.8,0.180494571826421,1,8,2.0144735587528,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2096.90918296796,-1635.8685436163,-461.040639351658
601,4.16328451922163,1.1763195745647,0.224298813524656,0.8,0.182819855562411,1,8,1.95003765774891,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2067.89628614655,-1633.30293857635,-434.593347570201
701,4.13962874067947,1.76088955048472,0.307486516544595,0.8,0.194010223727673,1,8,1.95003765774891,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2126.12584573472,-1615.1253385446,-511.000507190121
801,4.85096961045638,1.50535338763148,0.372281253412366,0.8,0.195678557967767,1,8,1.92473394994158,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2114.02279431391,-1634.95846434003,-479.064329973876
901,4.67523868689314,1.8994052875787,0.404988435055129,0.8,0.184284203546122,1,8,1.92473394994158,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2109.03677111909,-1620.90786575947,-488.128905359624
1001,4.41070033563301,1.5438492750749,0.373501755185425,0.8,0.199288534140214,1,8,1.92473394994158,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2119.88918457357,-1593.16203688055,-526.727147693017
1101,4.86830121995881,1.52792974542827,0.378685341477394,0.8,0.215098786167801,1,8,1.87086976098362,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2126.32674650575,-1612.94827462175,-513.378471883995
1201,5.12827087147161,1.81012180577964,0.405077028768137,0.8,0.202231103600934,1,8,1.80693435738794,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2082.18089404994,-1613.66050953101,-468.520384518928
1301,4.63021334270015,2.33987192492932,0.321322407601401,0.8,0.200594499870204,1,8,1.89068581699394,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2117.68865562599,-1616.73776166374,-500.950893962245
1401,4.33998909676448,1.75898235589266,0.328893338730559,0.8,0.197303701890633,1,8,1.89068581699394,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2179.10726913479,-1620.99457216894,-558.112696965851
1501,4.64833264453337,1.46275297477842,0.369858797085472,0.8,0.209490422531962,1,8,1.89068581699394,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2130.64036666347,-1608.50741274632,-522.132953917149
1601,4.90438145017251,0.664971945248545,0.342622700850479,0.8,0.205229707434774,1,8,1.89068581699394,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0,0.373546189257668,0,0,0,1.18364332422208,0,0,0.164371387589953,0,0,2.59528080213779,0,0,-0.737773271856037,0,0,0,0.62066692128566,0,0,2.13199575188187,0,0,0.975564990118009,-2132.69435890787,-1599.86369687081,-532.830662037058
